Fecha,temperatura (°F),punto_de_rocio (°F),humedad,Columna1,Velocidad del viento (mph),rafaga_viento (mph),presion
9-2-2012:23:00,79,73,83,NNE,8,0,29.85 °in
10-2-2012:00:00,79,73,83,NE,7,0,29.84 °in
10-2-2012:01:00,79,73,83,NE,8,0,29.83 °in
10-2-2012:02:00,77,73,89,VAR,2,0,29.82 °in
10-2-2012:03:00,77,75,94,VAR,2,0,29.81 °in
10-2-2012:04:00,77,75,94,NNE,3,0,29.81 °in
10-2-2012:05:00,77,73,89,CALM,0,0,29.81 °in
10-2-2012:06:00,77,73,89,VAR,2,0,29.81 °in
10-2-2012:07:00,75,73,94,E,3,0,29.83 °in
10-2-2012:08:00,79,72,78,SE,5,0,29.85 °in
10-2-2012:09:00,82,73,74,ESE,6,0,29.87 °in
10-2-2012:10:00,86,72,62,E,3,0,29.87 °in
10-2-2012:11:00,86,75,70,E,3,0,29.86 °in
10-2-2012:12:00,84,77,79,N,9,0,29.86 °in
10-2-2012:13:00,86,77,74,NNW,8,0,29.84 °in
10-2-2012:14:00,86,75,70,N,12,0,29.81 °in
10-2-2012:15:00,84,75,74,NNE,13,0,29.79 °in
10-2-2012:16:00,82,75,79,NNE,13,0,29.77 °in
10-2-2012:17:00,82,72,70,NNE,10,0,29.78 °in
10-2-2012:18:00,81,73,79,NNE,8,0,29.79 °in
10-2-2012:19:00,79,73,83,N,7,0,29.80 °in
10-2-2012:20:00,79,73,83,N,7,0,29.82 °in
10-2-2012:21:00,79,73,83,NE,5,0,29.84 °in
10-2-2012:22:00,79,73,83,N,7,0,29.87 °in
10-2-2012:23:00,79,73,83,NNE,7,0,29.86 °in
11-2-2012:00:00,79,73,83,NNE,7,0,29.84 °in
11-2-2012:01:00,79,73,83,NE,5,0,29.82 °in
11-2-2012:02:00,79,73,83,N,5,0,29.81 °in
11-2-2012:03:00,79,73,83,N,5,0,29.79 °in
11-2-2012:04:00,79,73,83,CALM,0,0,29.78 °in
11-2-2012:05:00,79,75,89,S,5,0,29.79 °in
11-2-2012:06:00,77,73,89,S,5,0,29.80 °in
11-2-2012:07:00,77,73,89,S,6,0,29.81 °in
11-2-2012:08:00,81,75,84,S,3,0,29.85 °in
11-2-2012:09:00,82,75,79,SSW,7,0,29.87 °in
11-2-2012:10:00,84,75,74,N,6,0,29.88 °in
11-2-2012:11:00,88,75,66,SSW,10,0,29.88 °in
11-2-2012:12:00,88,75,66,SSW,8,0,29.86 °in
11-2-2012:13:00,90,75,62,SW,12,0,29.85 °in
11-2-2012:14:00,90,75,62,SSW,9,0,29.82 °in
11-2-2012:15:00,88,75,66,N,6,0,29.81 °in
11-2-2012:16:00,86,75,70,WNW,8,0,29.81 °in
11-2-2012:17:00,82,75,79,N,7,0,29.81 °in
11-2-2012:18:00,81,75,84,NNE,16,0,29.81 °in
11-2-2012:19:00,81,73,79,NE,3,0,29.80 °in
11-2-2012:20:00,79,75,89,NE,8,0,29.83 °in
11-2-2012:21:00,79,73,83,NE,5,0,29.85 °in
11-2-2012:22:00,79,73,83,NE,6,0,29.84 °in
11-2-2012:23:00,77,73,89,NE,6,0,29.86 °in
12-2-2012:00:00,77,73,89,NE,5,0,29.86 °in
12-2-2012:01:00,77,73,89,NNE,7,0,29.84 °in
12-2-2012:02:00,77,72,83,NNE,7,0,29.83 °in
12-2-2012:03:00,77,72,83,N,3,0,29.81 °in
12-2-2012:04:00,77,72,83,NE,3,0,29.81 °in
12-2-2012:05:00,77,72,83,NE,6,0,29.81 °in
12-2-2012:06:00,77,73,89,ENE,7,0,29.80 °in
12-2-2012:07:00,77,72,83,ENE,7,0,29.85 °in
12-2-2012:08:00,79,73,83,NNE,3,0,29.88 °in
12-2-2012:09:00,81,72,74,ENE,5,0,29.89 °in
12-2-2012:10:00,82,73,74,ENE,3,0,29.91 °in
12-2-2012:11:00,82,73,74,N,20,0,29.91 °in
12-2-2012:12:00,82,75,79,N,17,0,29.89 °in
12-2-2012:13:00,82,75,79,NNE,17,0,29.87 °in
12-2-2012:14:00,86,73,66,NNE,7,0,29.84 °in
12-2-2012:15:00,86,73,66,N,7,0,29.81 °in
12-2-2012:16:00,84,72,66,NE,9,0,29.80 °in
12-2-2012:17:00,82,72,70,NNE,9,0,29.81 °in
12-2-2012:18:00,79,72,78,NE,7,0,29.82 °in
12-2-2012:19:00,79,72,78,NNE,20,0,29.83 °in
12-2-2012:20:00,79,72,78,NNE,9,0,29.83 °in
12-2-2012:21:00,79,72,78,NE,8,0,29.85 °in
12-2-2012:22:00,79,72,78,NE,6,0,29.86 °in
12-2-2012:23:00,77,72,83,NE,7,0,29.86 °in
13-2-2012:00:00,79,72,78,ENE,9,0,29.85 °in
13-2-2012:01:00,77,72,83,ENE,9,0,29.84 °in
13-2-2012:02:00,77,72,83,NE,7,0,29.83 °in
13-2-2012:03:00,77,72,83,NE,6,0,29.81 °in
13-2-2012:04:00,77,72,83,NNE,7,0,29.80 °in
13-2-2012:05:00,77,72,83,ENE,13,0,29.80 °in
13-2-2012:06:00,77,72,83,ENE,6,0,29.82 °in
13-2-2012:07:00,77,72,83,NE,5,0,29.85 °in
13-2-2012:08:00,79,73,83,NE,7,0,29.87 °in
13-2-2012:09:00,84,73,70,E,5,0,0.00 °in
13-2-2012:10:00,84,73,70,SE,5,0,0.00 °in
13-2-2012:11:00,86,73,66,NNE,5,0,29.88 °in
13-2-2012:12:00,86,73,66,NNW,7,0,29.87 °in
13-2-2012:13:00,86,75,70,NNE,9,0,29.84 °in
13-2-2012:14:00,86,73,66,N,13,0,29.80 °in
13-2-2012:15:00,84,75,74,NNE,12,0,29.79 °in
13-2-2012:16:00,82,77,84,NE,14,0,29.78 °in
13-2-2012:17:00,84,75,74,NNE,7,0,29.78 °in
13-2-2012:18:00,81,73,79,NE,7,0,29.78 °in
13-2-2012:19:00,79,72,78,NNE,10,0,29.80 °in
13-2-2012:20:00,79,72,78,NNE,20,0,29.81 °in
13-2-2012:21:00,79,72,78,NE,8,0,29.83 °in
13-2-2012:22:00,77,72,83,NE,7,0,29.84 °in
13-2-2012:23:00,77,72,83,NE,8,0,29.85 °in
14-2-2012:15:00,86,75,70,N,8,0,29.74 °in
14-2-2012:00:00,77,72,83,NE,9,0,29.83 °in
14-2-2012:01:00,77,72,83,NNE,12,0,29.83 °in
14-2-2012:02:00,77,70,78,E,3,0,29.82 °in
14-2-2012:03:00,75,70,83,NE,7,0,29.80 °in
14-2-2012:04:00,75,70,83,NE,3,0,29.80 °in
14-2-2012:05:00,75,70,83,E,5,0,29.81 °in
14-2-2012:06:00,75,72,89,VAR,2,0,29.82 °in
14-2-2012:07:00,73,70,88,CALM,0,0,29.84 °in
14-2-2012:08:00,79,72,78,CALM,0,0,29.87 °in
14-2-2012:09:00,82,72,70,CALM,0,0,29.89 °in
14-2-2012:10:00,84,72,66,SSE,3,0,29.90 °in
14-2-2012:11:00,86,72,62,VAR,2,0,29.91 °in
14-2-2012:12:00,86,73,66,N,9,0,29.88 °in
14-2-2012:13:00,86,73,66,SSW,17,0,29.86 °in
14-2-2012:14:00,86,73,66,NNE,17,0,29.83 °in
14-2-2012:15:00,86,73,66,N,18,0,29.80 °in
14-2-2012:16:00,84,72,66,NNE,20,0,29.80 °in
14-2-2012:17:00,82,72,70,NNE,14,0,29.80 °in
14-2-2012:18:00,82,72,70,NE,3,0,29.80 °in
14-2-2012:19:00,79,72,78,NNE,6,0,29.83 °in
14-2-2012:20:00,79,73,83,NE,5,0,29.85 °in
14-2-2012:21:00,79,73,83,NE,6,0,29.86 °in
14-2-2012:22:00,79,73,83,E,3,0,29.88 °in
14-2-2012:23:00,79,72,78,VAR,2,0,29.88 °in
15-2-2012:00:00,79,73,83,NE,8,0,29.87 °in
15-2-2012:01:00,77,73,89,VAR,2,0,29.85 °in
15-2-2012:02:00,77,73,89,VAR,2,0,29.83 °in
15-2-2012:03:00,77,73,89,CALM,0,0,29.82 °in
15-2-2012:04:00,75,72,89,CALM,0,0,29.82 °in
15-2-2012:05:00,75,73,94,CALM,0,0,29.84 °in
15-2-2012:06:00,75,72,89,VAR,2,0,29.85 °in
15-2-2012:07:00,73,72,94,SE,3,0,29.87 °in
15-2-2012:08:00,77,72,83,SE,5,0,29.89 °in
15-2-2012:09:00,84,73,70,SSE,6,0,29.92 °in
15-2-2012:10:00,88,73,62,S,5,0,29.93 °in
15-2-2012:11:00,84,73,70,NNW,10,0,29.92 °in
15-2-2012:12:00,84,73,70,N,14,0,29.90 °in
15-2-2012:13:00,86,75,70,N,10,0,29.90 °in
15-2-2012:14:00,86,75,70,N,14,0,29.86 °in
15-2-2012:15:00,86,73,66,N,15,0,29.85 °in
15-2-2012:16:00,84,73,70,N,13,0,29.84 °in
15-2-2012:17:00,86,73,66,NNE,10,0,29.83 °in
15-2-2012:18:00,82,72,70,NNE,9,0,29.85 °in
15-2-2012:19:00,79,72,78,E,6,0,29.84 °in
15-2-2012:20:00,79,72,78,NNE,12,0,29.85 °in
15-2-2012:21:00,133,72,15,NE,10,0,29.86 °in
15-2-2012:22:00,77,72,83,NE,8,0,29.86 °in
15-2-2012:23:00,77,72,83,NNE,6,0,29.86 °in
16-2-2012:00:00,77,72,83,NE,6,0,29.86 °in
16-2-2012:01:00,77,72,83,NNE,6,0,29.85 °in
16-2-2012:02:00,77,72,83,VAR,2,0,29.84 °in
16-2-2012:03:00,75,72,89,CALM,0,0,29.84 °in
16-2-2012:04:00,75,72,89,VAR,2,0,29.83 °in
16-2-2012:05:00,75,72,89,CALM,0,0,29.84 °in
16-2-2012:06:00,73,72,94,CALM,0,0,29.86 °in
16-2-2012:07:00,73,70,88,CALM,0,0,29.91 °in
16-2-2012:08:00,77,72,83,CALM,0,0,29.92 °in
16-2-2012:09:00,81,70,70,VAR,2,0,29.95 °in
16-2-2012:10:00,84,72,66,VAR,2,0,29.96 °in
16-2-2012:11:00,84,73,70,NW,7,0,29.95 °in
16-2-2012:12:00,84,73,70,N,8,0,29.93 °in
16-2-2012:13:00,86,73,66,N,10,0,29.88 °in
16-2-2012:14:00,86,77,74,N,12,0,29.85 °in
16-2-2012:15:00,86,73,66,ESE,12,0,29.83 °in
16-2-2012:16:00,84,72,66,N,10,0,29.82 °in
16-2-2012:17:00,84,70,62,E,8,0,29.81 °in
16-2-2012:18:00,81,70,70,ENE,7,0,29.82 °in
16-2-2012:19:00,79,70,74,N,5,0,29.84 °in
16-2-2012:20:00,77,72,83,NE,7,0,29.85 °in
16-2-2012:21:00,77,72,83,NE,9,0,29.85 °in
16-2-2012:22:00,77,72,83,NNE,7,0,29.86 °in
16-2-2012:23:00,77,70,78,NE,7,0,29.87 °in
17-2-2012:00:00,77,70,78,N,7,0,29.85 °in
17-2-2012:01:00,77,70,78,NE,5,0,29.84 °in
17-2-2012:02:00,77,72,83,CALM,0,0,29.85 °in
17-2-2012:03:00,77,70,78,CALM,0,0,29.85 °in
17-2-2012:04:00,77,72,83,CALM,0,0,29.79 °in
17-2-2012:05:00,77,72,83,CALM,0,0,29.84 °in
17-2-2012:06:00,73,70,88,CALM,0,0,29.85 °in
17-2-2012:07:00,73,70,88,CALM,0,0,29.86 °in
17-2-2012:08:00,73,70,88,CALM,0,0,29.86 °in
17-2-2012:09:00,82,72,70,CALM,0,0,29.90 °in
17-2-2012:10:00,82,72,70,VAR,2,0,29.91 °in
17-2-2012:11:00,82,72,70,NW,6,0,29.90 °in
17-2-2012:12:00,82,72,70,WNW,7,0,29.88 °in
17-2-2012:13:00,84,72,66,N,16,0,29.86 °in
17-2-2012:14:00,86,72,62,N,8,0,29.84 °in
17-2-2012:15:00,84,73,70,N,20,0,29.81 °in
17-2-2012:16:00,82,73,74,NNE,17,0,29.80 °in
17-2-2012:17:00,82,72,70,NNE,15,0,29.80 °in
17-2-2012:18:00,81,72,74,NE,5,0,29.80 °in
17-2-2012:19:00,79,72,78,NE,13,0,29.80 °in
17-2-2012:20:00,77,72,83,ENE,7,0,29.81 °in
17-2-2012:21:00,77,72,83,ENE,10,0,29.83 °in
17-2-2012:22:00,77,72,83,NE,5,0,29.84 °in
17-2-2012:23:00,77,72,83,NE,5,0,29.85 °in
18-2-2012:00:00,77,72,83,ENE,3,0,29.84 °in
18-2-2012:01:00,75,72,89,NE,5,0,29.83 °in
18-2-2012:02:00,75,72,89,NNE,6,0,29.80 °in
18-2-2012:03:00,77,73,89,NE,3,0,29.79 °in
18-2-2012:04:00,77,72,83,VAR,2,0,29.78 °in
18-2-2012:05:00,75,72,89,CALM,0,0,29.78 °in
18-2-2012:06:00,75,73,94,S,3,0,29.80 °in
18-2-2012:07:00,73,72,94,E,6,0,29.82 °in
18-2-2012:08:00,77,72,83,SE,2,0,29.85 °in
18-2-2012:09:00,81,73,79,ESE,8,0,29.87 °in
18-2-2012:10:00,84,75,74,SE,5,0,29.88 °in
18-2-2012:11:00,86,75,70,W,6,0,29.89 °in
18-2-2012:12:00,86,75,70,WSW,5,0,29.87 °in
18-2-2012:13:00,84,75,74,NE,5,0,29.84 °in
18-2-2012:14:00,84,75,74,NNE,5,0,29.81 °in
18-2-2012:15:00,86,73,66,NNE,7,0,29.78 °in
18-2-2012:16:00,84,75,74,NNE,7,0,29.78 °in
18-2-2012:17:00,84,75,74,NNE,9,0,29.76 °in
18-2-2012:18:00,81,73,79,NE,5,0,29.79 °in
18-2-2012:19:00,79,73,83,NE,6,0,29.80 °in
18-2-2012:20:00,79,73,83,NE,10,0,29.81 °in
18-2-2012:21:00,79,73,83,NNE,5,0,29.82 °in
18-2-2012:22:00,77,73,89,NE,5,0,29.82 °in
18-2-2012:23:00,77,73,89,NE,6,0,29.83 °in
19-2-2012:00:00,77,73,89,NNE,10,0,29.83 °in
19-2-2012:01:00,77,73,89,NNE,7,0,29.82 °in
19-2-2012:02:00,77,73,89,NNE,8,0,29.81 °in
19-2-2012:03:00,77,73,89,NNE,8,0,0.00 °in
19-2-2012:04:00,77,73,89,NE,3,0,29.79 °in
19-2-2012:05:00,77,73,89,SSE,5,0,29.79 °in
19-2-2012:06:00,75,73,94,E,3,0,29.80 °in
19-2-2012:07:00,73,72,94,ESE,5,0,29.81 °in
19-2-2012:08:00,79,72,78,SE,5,0,29.84 °in
19-2-2012:09:00,82,73,74,ESE,5,0,29.86 °in
19-2-2012:10:00,86,75,70,E,5,0,29.87 °in
19-2-2012:11:00,84,75,74,WNW,5,0,29.87 °in
19-2-2012:12:00,86,75,70,SW,7,0,29.85 °in
19-2-2012:13:00,86,75,70,NNW,9,0,29.84 °in
19-2-2012:14:00,84,75,74,NNE,10,0,29.81 °in
19-2-2012:15:00,84,73,70,N,8,0,29.79 °in
19-2-2012:16:00,82,75,79,N,13,0,29.78 °in
19-2-2012:17:00,82,75,79,NNE,10,0,29.78 °in
19-2-2012:18:00,81,73,79,NNE,7,0,29.79 °in
19-2-2012:19:00,79,72,78,NNE,6,0,29.80 °in
19-2-2012:20:00,79,72,78,NNE,7,0,29.81 °in
19-2-2012:21:00,79,73,83,NE,7,0,29.83 °in
19-2-2012:22:00,77,72,83,E,8,0,29.84 °in
19-2-2012:23:00,77,72,83,ENE,6,0,29.84 °in
20-2-2012:00:00,77,72,83,NNE,10,0,29.83 °in
20-2-2012:01:00,77,73,89,NNE,16,0,29.82 °in
20-2-2012:02:00,77,72,83,N,9,0,29.81 °in
20-2-2012:03:00,77,73,89,NE,5,0,29.80 °in
20-2-2012:04:00,77,73,89,NE,14,0,29.80 °in
20-2-2012:05:00,77,73,89,NE,10,0,29.81 °in
20-2-2012:06:00,75,72,89,NNE,9,0,29.82 °in
20-2-2012:07:00,77,72,83,N,3,0,29.81 °in
20-2-2012:08:00,79,70,74,VAR,2,0,29.84 °in
20-2-2012:09:00,82,70,66,SE,3,0,29.86 °in
20-2-2012:10:00,82,72,70,ESE,5,0,29.87 °in
20-2-2012:11:00,86,72,62,VAR,2,0,29.86 °in
20-2-2012:12:00,84,73,70,NNW,8,0,29.86 °in
20-2-2012:13:00,86,73,66,N,9,0,29.85 °in
20-2-2012:14:00,86,75,70,N,12,0,29.82 °in
20-2-2012:15:00,86,73,66,NNE,15,0,29.80 °in
20-2-2012:16:00,84,73,70,NNE,18,0,29.78 °in
20-2-2012:17:00,84,73,70,NNE,17,0,29.80 °in
20-2-2012:18:00,81,72,74,NE,5,0,29.80 °in
20-2-2012:19:00,79,72,78,N,7,0,29.83 °in
20-2-2012:20:00,79,72,78,NNE,7,0,29.84 °in
20-2-2012:21:00,79,72,78,NE,5,0,29.85 °in
20-2-2012:22:00,79,72,78,NE,8,0,29.86 °in
20-2-2012:23:00,79,72,78,NE,7,0,29.87 °in
21-2-2012:00:00,79,72,78,NE,7,0,29.86 °in
21-2-2012:01:00,79,72,78,N,6,0,29.86 °in
21-2-2012:02:00,77,73,89,NNE,6,0,29.84 °in
21-2-2012:03:00,81,72,74,NE,5,0,29.80 °in
21-2-2012:04:00,77,73,89,VAR,2,0,29.82 °in
21-2-2012:05:00,77,72,83,NE,5,0,29.84 °in
21-2-2012:06:00,77,72,83,NE,6,0,29.85 °in
21-2-2012:07:00,77,72,83,E,3,0,29.86 °in
21-2-2012:08:00,81,72,74,VAR,2,0,29.88 °in
21-2-2012:09:00,84,72,66,E,3,0,29.89 °in
21-2-2012:10:00,84,72,66,VAR,2,0,29.91 °in
21-2-2012:11:00,86,72,62,WNW,7,0,29.90 °in
21-2-2012:12:00,86,75,70,N,10,0,29.88 °in
21-2-2012:13:00,86,86,100,NNE,14,0,29.88 °in
21-2-2012:14:00,86,75,70,N,22,0,29.84 °in
21-2-2012:15:00,86,75,70,N,20,0,29.82 °in
21-2-2012:16:00,84,73,70,NNE,17,0,29.81 °in
21-2-2012:17:00,84,73,70,NNE,8,0,29.82 °in
21-2-2012:18:00,82,72,70,NE,10,0,29.82 °in
21-2-2012:19:00,79,72,78,NE,6,0,29.82 °in
21-2-2012:20:00,79,73,83,ENE,6,0,29.83 °in
21-2-2012:21:00,79,72,78,ENE,6,0,29.84 °in
21-2-2012:22:00,79,72,78,NE,7,0,29.85 °in
21-2-2012:23:00,79,72,78,ENE,13,32,29.87 °in
22-2-2012:00:00,77,72,83,ENE,8,0,29.86 °in
22-2-2012:01:00,77,72,83,NE,6,0,29.84 °in
22-2-2012:02:00,77,73,89,NNE,6,0,29.82 °in
22-2-2012:03:00,77,72,83,NE,5,0,29.80 °in
22-2-2012:04:00,77,72,83,E,5,0,29.78 °in
22-2-2012:05:00,75,72,89,CALM,0,0,29.80 °in
22-2-2012:06:00,75,72,89,CALM,0,0,29.81 °in
22-2-2012:07:00,75,72,89,VAR,2,0,29.84 °in
22-2-2012:08:00,79,70,74,VAR,2,0,29.86 °in
22-2-2012:09:00,81,72,74,ENE,3,0,29.88 °in
22-2-2012:10:00,82,72,70,E,3,0,29.90 °in
22-2-2012:11:00,84,73,70,NNE,9,0,29.88 °in
22-2-2012:12:00,86,75,70,N,12,0,29.85 °in
22-2-2012:13:00,86,73,66,N,9,0,29.82 °in
22-2-2012:14:00,86,73,66,NNE,12,0,29.78 °in
22-2-2012:15:00,86,73,66,NNE,8,0,29.75 °in
22-2-2012:16:00,86,72,62,NE,7,0,29.75 °in
22-2-2012:17:00,84,73,70,NE,8,0,29.75 °in
22-2-2012:18:00,81,73,79,NE,6,0,29.74 °in
22-2-2012:19:00,79,73,83,ENE,12,0,29.82 °in
22-2-2012:20:00,79,73,83,N,7,0,29.78 °in
22-2-2012:21:00,79,73,83,NNE,5,0,29.79 °in
22-2-2012:22:00,79,73,83,NE,5,0,29.80 °in
22-2-2012:23:00,79,73,83,NNE,5,0,29.81 °in
23-2-2012:00:00,79,73,83,E,5,0,29.79 °in
23-2-2012:01:00,77,73,89,SE,5,0,29.76 °in
23-2-2012:02:00,75,73,94,CALM,0,0,29.74 °in
23-2-2012:03:00,75,72,89,CALM,0,0,29.73 °in
23-2-2012:04:00,75,72,89,CALM,0,0,29.74 °in
23-2-2012:05:00,75,72,89,CALM,0,0,29.76 °in
23-2-2012:06:00,75,72,89,CALM,0,0,29.76 °in
23-2-2012:07:00,73,72,94,CALM,0,0,29.79 °in
23-2-2012:08:00,77,72,83,CALM,0,0,29.84 °in
23-2-2012:09:00,82,73,74,VAR,2,0,29.86 °in
23-2-2012:10:00,82,72,70,CALM,0,0,29.87 °in
23-2-2012:11:00,84,73,70,E,5,0,29.83 °in
23-2-2012:12:00,84,73,70,E,5,0,29.83 °in
23-2-2012:13:00,84,73,70,NNE,21,0,29.82 °in
23-2-2012:14:00,84,75,74,NNE,18,0,29.78 °in
23-2-2012:15:00,82,73,74,NNE,16,0,29.75 °in
23-2-2012:16:00,82,73,74,N,23,0,29.78 °in
23-2-2012:17:00,81,73,79,NNE,23,0,29.73 °in
23-2-2012:18:00,81,73,79,NE,9,0,29.74 °in
23-2-2012:19:00,79,73,83,NE,5,0,29.74 °in
23-2-2012:20:00,79,73,83,NE,5,0,29.73 °in
23-2-2012:21:00,79,73,83,VAR,2,0,29.75 °in
23-2-2012:22:00,79,72,78,NNE,5,0,29.76 °in
23-2-2012:23:00,77,72,83,VAR,2,0,29.75 °in
24-2-2012:00:00,77,72,83,VAR,2,0,29.75 °in
24-2-2012:01:00,77,72,83,ENE,3,0,29.74 °in
24-2-2012:02:00,77,72,83,CALM,0,0,29.73 °in
24-2-2012:03:00,75,72,89,CALM,0,0,29.72 °in
24-2-2012:04:00,75,72,89,CALM,0,0,29.74 °in
24-2-2012:05:00,75,72,89,CALM,0,0,29.75 °in
24-2-2012:06:00,73,70,88,CALM,0,0,29.76 °in
24-2-2012:07:00,73,70,88,CALM,0,0,29.76 °in
24-2-2012:08:00,79,70,74,CALM,0,0,29.84 °in
24-2-2012:09:00,79,72,78,VAR,2,0,29.85 °in
24-2-2012:10:00,86,73,66,VAR,2,0,29.86 °in
24-2-2012:11:00,86,75,70,NE,5,0,29.84 °in
24-2-2012:12:00,86,73,66,NNE,12,0,29.83 °in
24-2-2012:13:00,86,72,62,N,12,0,29.80 °in
24-2-2012:14:00,84,73,70,NNE,14,0,29.77 °in
24-2-2012:15:00,86,73,66,NNE,14,0,29.75 °in
24-2-2012:16:00,84,73,70,NE,12,0,29.77 °in
24-2-2012:17:00,82,73,74,NNE,10,0,29.75 °in
24-2-2012:18:00,81,73,79,NE,8,0,29.75 °in
24-2-2012:19:00,79,73,83,NE,7,0,29.75 °in
24-2-2012:20:00,79,73,83,NNE,7,0,29.77 °in
24-2-2012:21:00,79,73,83,ENE,3,0,29.79 °in
24-2-2012:22:00,77,73,89,NE,3,0,29.80 °in
24-2-2012:23:00,77,73,89,CALM,0,0,29.80 °in
25-2-2012:00:00,77,73,89,NNE,5,0,29.80 °in
25-2-2012:01:00,77,73,89,NNE,6,0,29.80 °in
25-2-2012:02:00,77,73,89,CALM,0,0,29.79 °in
25-2-2012:03:00,77,73,89,CALM,0,0,29.77 °in
25-2-2012:04:00,75,72,89,CALM,0,0,29.75 °in
25-2-2012:05:00,75,72,89,CALM,0,0,29.75 °in
25-2-2012:06:00,75,72,89,VAR,2,0,29.78 °in
25-2-2012:07:00,75,73,94,CALM,0,0,29.81 °in
25-2-2012:08:00,81,73,79,VAR,2,0,29.85 °in
25-2-2012:09:00,82,73,74,VAR,2,0,29.87 °in
25-2-2012:10:00,82,75,79,NW,5,0,29.87 °in
25-2-2012:11:00,84,75,74,N,7,0,29.87 °in
25-2-2012:12:00,86,75,70,N,9,0,29.83 °in
25-2-2012:13:00,86,75,70,NNE,13,0,29.80 °in
25-2-2012:14:00,86,75,70,N,13,0,29.78 °in
25-2-2012:15:00,84,75,74,NNE,17,0,29.75 °in
25-2-2012:16:00,86,73,66,NNE,10,0,29.74 °in
25-2-2012:17:00,84,73,70,NE,5,0,29.74 °in
25-2-2012:18:00,81,73,79,NE,5,0,29.75 °in
25-2-2012:19:00,79,73,83,NE,3,0,29.78 °in
25-2-2012:20:00,79,73,83,NNE,6,0,29.80 °in
25-2-2012:21:00,79,73,83,NNE,7,0,29.81 °in
25-2-2012:22:00,77,73,89,N,14,0,29.83 °in
25-2-2012:23:00,77,73,89,NE,12,0,29.83 °in
26-2-2012:00:00,77,73,89,VAR,2,0,29.82 °in
26-2-2012:01:00,77,73,89,VAR,2,0,29.81 °in
26-2-2012:02:00,77,73,89,CALM,0,0,29.81 °in
26-2-2012:03:00,75,73,94,VAR,2,0,29.79 °in
26-2-2012:04:00,75,73,94,ENE,3,0,29.79 °in
26-2-2012:05:00,75,73,94,VAR,2,0,29.79 °in
26-2-2012:06:00,73,72,94,CALM,0,0,29.81 °in
26-2-2012:07:00,73,70,88,CALM,0,0,29.81 °in
26-2-2012:08:00,79,70,74,E,3,0,29.83 °in
26-2-2012:09:00,82,72,70,VAR,2,0,29.86 °in
26-2-2012:10:00,86,72,62,NE,3,0,29.86 °in
26-2-2012:11:00,86,72,62,N,8,0,29.86 °in
26-2-2012:12:00,86,73,66,N,10,0,29.86 °in
26-2-2012:13:00,86,72,62,N,17,0,29.84 °in
26-2-2012:14:00,86,72,62,NNW,14,0,29.81 °in
26-2-2012:15:00,86,73,66,NNW,13,0,29.78 °in
26-2-2012:16:00,86,72,62,N,16,0,29.75 °in
26-2-2012:17:00,86,72,62,NE,7,0,29.75 °in
26-2-2012:18:00,81,72,74,NE,6,0,29.75 °in
26-2-2012:19:00,79,72,78,NE,6,0,29.76 °in
26-2-2012:20:00,79,72,78,NE,6,0,29.77 °in
26-2-2012:21:00,79,72,78,W,5,0,29.79 °in
26-2-2012:22:00,79,72,78,VAR,2,0,29.80 °in
26-2-2012:23:00,79,72,78,VAR,2,0,29.79 °in
27-2-2012:00:00,79,72,78,E,6,0,29.80 °in
27-2-2012:01:00,79,72,78,VAR,2,0,29.78 °in
27-2-2012:02:00,79,70,74,VAR,2,0,29.76 °in
27-2-2012:03:00,77,70,78,CALM,0,0,29.76 °in
27-2-2012:04:00,77,70,78,CALM,0,0,29.78 °in
27-2-2012:05:00,77,70,78,NE,3,0,29.70 °in
27-2-2012:06:00,77,70,78,CALM,0,0,29.80 °in
27-2-2012:07:00,75,70,83,CALM,0,0,29.82 °in
27-2-2012:08:00,79,70,74,CALM,0,0,29.83 °in
27-2-2012:09:00,82,72,70,VAR,2,0,29.85 °in
27-2-2012:10:00,86,72,62,ENE,5,0,29.86 °in
27-2-2012:11:00,88,73,62,VAR,2,0,29.85 °in
27-2-2012:12:00,88,73,62,NNW,9,0,29.84 °in
27-2-2012:13:00,88,73,62,NNE,21,0,29.82 °in
27-2-2012:14:00,86,73,66,NNE,10,0,29.78 °in
27-2-2012:15:00,86,72,62,NNE,18,0,29.77 °in
27-2-2012:16:00,86,72,62,NE,9,0,29.75 °in
27-2-2012:17:00,84,72,66,NE,8,0,29.75 °in
27-2-2012:18:00,81,73,79,NE,6,0,29.76 °in
27-2-2012:19:00,79,72,78,VAR,2,0,29.75 °in
27-2-2012:20:00,79,72,78,NNE,3,0,29.77 °in
27-2-2012:21:00,79,72,78,NE,3,0,29.78 °in
27-2-2012:22:00,79,70,74,E,3,0,29.78 °in
27-2-2012:23:00,77,70,78,CALM,0,0,29.79 °in
28-2-2012:00:00,77,70,78,NNE,3,0,29.78 °in
28-2-2012:01:00,77,70,78,E,3,0,29.77 °in
28-2-2012:02:00,77,68,74,CALM,0,0,29.76 °in
28-2-2012:03:00,75,68,78,CALM,0,0,29.76 °in
28-2-2012:04:00,75,68,78,CALM,0,0,29.76 °in
28-2-2012:05:00,75,70,83,CALM,0,0,29.77 °in
28-2-2012:06:00,75,70,83,CALM,0,0,29.79 °in
28-2-2012:07:00,75,70,83,CALM,0,0,29.82 °in
28-2-2012:08:00,77,70,78,CALM,0,0,29.83 °in
28-2-2012:09:00,81,70,70,VAR,2,0,29.85 °in
